Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
884,436,90.04,82.06,9.34,98.18,43.6,28.9,80.05,45.18,5.96,3.9,0.23,1.83,0,0,1.83,2.06,7.8,14.68,7.8,3.44,7.57,0.23,13.53,4.59,2.29,0.46,3.21,0.69,5.5,5.5,0,0,0,0,8.49,0,0,0,0,8.49,0.46,3.44,2.06,1.15,0.92,0.69,1.61,0.46,0,0.23,1.61,0,0.46,0,1.15,9.63,3.44,5.28,0.92,0.92,0,2.29,8.03,3.44,13.76,1.61,9.63,2.52,7.34,3.9,1.15,1.61,0.46,0,0.46,0,0,0,0.46,0,13.99,4.13,2.75,0,0,0,0.46,1.38,0,0,0,5.28
885,207,91.31,36.76,90.83,93.61,29.57,25.12,85.02,51.69,13.53,10.14,8.7,0.48,0.97,0,0,3.38,7.25,18.36,7.25,0.97,5.31,0,9.66,3.86,1.93,0,1.93,0.48,4.35,4.35,0,0,0,0,3.86,0,0,0,0,5.31,2.42,0.48,0.48,2.42,0,0,0.48,0,0,0,1.45,0,0.48,0.97,0,5.8,1.45,2.42,1.45,0.48,0,1.45,6.28,2.9,18.36,4.35,9.66,3.38,5.8,1.93,0.48,1.45,0,0,0,0,0,0,0,0,8.21,3.86,1.93,0,0,0,0,1.45,0,0,0,0.97
886,126,67.14,59.4,47.57,82.57,25.2,18.25,88.89,58.73,15.87,9.52,6.35,0.79,2.38,0,0,6.35,6.35,19.05,11.11,6.35,5.56,0.79,21.43,3.97,3.17,1.59,0,1.59,3.17,3.17,0,0,0,0,7.94,0,1.59,0.79,1.59,7.14,0.79,0.79,1.59,3.97,0,1.59,3.17,2.38,0,0.79,1.59,0.79,0.79,0,0,9.52,3.17,3.17,3.97,0.79,0,1.59,13.49,5.56,13.49,1.59,6.35,5.56,1.59,0.79,0,4.76,0,0,0.79,0,0.79,0,0,0,16.67,4.76,4.76,0,0,0,0.79,0.79,0,3.17,0,2.38
887,127,73.25,31.84,51.73,55.46,21.17,18.11,87.4,52.76,15.75,8.66,7.87,0.79,0,0,0,7.09,5.51,15.75,9.45,4.72,3.15,0,16.54,7.09,2.36,0,0.79,5.51,3.94,2.36,0.79,0,0,0,5.51,0,0,0,0,8.66,0.79,1.57,1.57,3.15,1.57,3.15,4.72,2.36,0.79,0.79,1.57,0.79,0,0,0.79,7.09,1.57,4.72,0.79,2.36,0,1.57,12.6,1.57,11.02,0.79,8.66,2.36,5.51,0.79,0,2.36,0,0,0.79,0,0,0,0.79,0,16.54,7.87,3.15,0,0,0,0.79,0,0,0.79,0,3.94
888,70,59.47,12.66,97.55,78.19,35,18.57,87.14,57.14,20,17.14,14.29,1.43,1.43,0,0,2.86,2.86,18.57,7.14,4.29,5.71,1.43,12.86,1.43,1.43,0,1.43,2.86,11.43,7.14,4.29,4.29,0,0,4.29,0,0,0,0,11.43,0,1.43,0,2.86,4.29,2.86,1.43,1.43,0,0,1.43,0,1.43,0,0,7.14,1.43,4.29,1.43,0,0,2.86,7.14,1.43,15.71,1.43,4.29,10,1.43,0,0,0,0,0,0,0,0,0,0,0,21.43,5.71,1.43,0,0,0,0,0,0,0,4.29,10
889,103,55.83,31.38,76.03,90.17,25.75,12.62,93.2,61.17,19.42,11.65,9.71,0,1.94,0,0,6.8,8.74,17.48,6.8,4.85,13.59,0,17.48,7.77,6.8,0.97,1.94,0,3.88,3.88,0,0,0,0,3.88,0,0,0,0,15.53,3.88,1.94,3.88,7.77,0.97,0.97,0,0,0,0,0.97,0,0,0,0,2.91,0,1.94,0,0.97,0,3.88,12.62,3.88,14.56,1.94,10.68,1.94,6.8,1.94,0,0,0,0,0,0,0,0,0,0,17.48,5.83,4.85,0.97,0,0,0.97,0,1.94,1.94,0,0.97
890,112,83,63.97,46.9,94.3,18.67,19.64,83.04,45.54,7.14,1.79,0.89,0,0,0.89,0,5.36,8.04,12.5,11.61,1.79,7.14,0,17.86,4.46,3.57,0,0,5.36,6.25,5.36,0.89,0,0,0,8.04,0,0.89,0,0.89,11.61,5.36,0,0.89,0,1.79,3.57,0,0,0,0,1.79,0.89,0.89,0,0,8.04,2.68,1.79,4.46,0,0,0,10.71,8.04,12.5,0.89,6.25,5.36,6.25,2.68,0,0,0,0,0.89,0,0,0,0.89,0,10.71,9.82,0,0,0,0,0,0,0,0.89,0,0
891,166,83.92,50,24.54,99,18.44,23.49,74.1,40.36,10.84,7.83,6.02,0,1.2,0,0.6,3.01,6.02,12.05,4.22,1.81,7.23,0.6,10.24,6.02,1.81,0.6,0.6,0.6,9.04,8.43,0.6,0,0.6,0,6.02,0.6,0,0,0,10.24,3.61,4.22,1.2,1.2,0,0.6,1.81,1.81,0,0,0.6,0,0.6,0,0,9.64,1.81,4.22,3.01,2.41,0,0,6.02,1.81,7.83,1.81,4.82,1.2,3.61,6.02,0,0.6,0,0,0.6,0,0,0,0.6,0,26.51,9.04,3.61,1.2,0,0,4.22,0,0,0.6,3.61,4.22
892,44,83.58,8.65,96.4,25.77,22,9.09,88.64,47.73,13.64,13.64,13.64,0,0,0,0,0,6.82,13.64,6.82,2.27,4.55,0,15.91,9.09,4.55,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0,4.55,0,4.55,0,0,0,0,2.27,2.27,0,0,0,0,0,0,0,4.55,0,2.27,0,2.27,0,2.27,11.36,2.27,18.18,0,9.09,11.36,2.27,9.09,0,2.27,0,0,0,0,0,0,0,0,13.64,4.55,4.55,0,0,0,2.27,0,0,0,0,2.27
893,82,75.2,59.64,32.6,88.08,20.5,12.2,91.46,56.1,18.29,12.2,8.54,0,3.66,0,0,6.1,7.32,15.85,9.76,0,6.1,0,18.29,6.1,1.22,1.22,0,3.66,3.66,3.66,0,0,0,0,8.54,0,0,0,0,7.32,0,2.44,1.22,1.22,2.44,1.22,1.22,1.22,0,0,0,0,0,0,0,8.54,1.22,4.88,2.44,1.22,1.22,1.22,12.2,3.66,9.76,3.66,6.1,0,6.1,3.66,1.22,2.44,0,0,0,0,0,0,0,0,20.73,9.76,7.32,0,0,0,0,0,0,0,2.44,1.22
894,529,67.9,23.05,69.19,77.87,25.19,11.72,90.93,57.09,17.58,11.15,10.02,0,0.95,0,0.19,6.43,5.86,16.45,9.26,2.46,6.05,0.95,20.23,1.7,0.95,0.76,0.95,1.13,3.21,3.02,0.19,0.19,0,0,5.48,0,0,0,0,10.02,1.13,2.65,1.89,2.46,0.76,2.84,0.95,0.76,0,0.19,0.76,0.19,0.38,0.19,0,10.96,2.84,3.02,3.21,3.78,0.38,2.84,15.88,2.08,11.91,1.89,5.86,4.35,4.54,3.4,0,4.16,0,0,0,0,0,0,0,0,6.43,3.97,1.7,0,0,0,0,0,0,0,0,0.76
895,357,50.15,18.5,62.86,81.34,22.31,11.76,90.76,58.26,20.73,14.29,11.2,0,0.84,2.24,0,6.44,6.44,14.85,10.08,3.92,5.88,1.12,18.77,2.52,0.84,0.28,0.56,2.24,4.76,3.92,0.84,0,0.28,0,5.88,0,0.84,2.24,0,10.92,1.96,1.12,3.08,2.52,1.4,3.08,1.12,0.56,0,0.56,2.8,0,1.96,0.28,0.28,6.44,1.68,1.68,1.68,1.68,0,3.08,14.29,1.68,12.04,0.28,6.44,5.6,3.36,2.24,0.84,2.52,0,0.28,0.56,0.28,0.28,0,0,0,15.13,5.88,4.48,0.28,0,0,0.28,0,0,2.8,0.56,0.84
896,83,86.87,99,6.8,25.77,41.5,18.07,90.36,46.99,12.05,10.84,0,9.64,1.2,0,0,1.2,7.23,15.66,7.23,3.61,3.61,1.2,15.66,8.43,3.61,0,1.2,2.41,2.41,1.2,1.2,0,0,0,22.89,0,2.41,0,0,8.43,1.2,3.61,0,2.41,1.2,0,6.02,3.61,2.41,0,4.82,3.61,0,0,1.2,21.69,14.46,2.41,6.02,0,0,2.41,8.43,2.41,10.84,0,3.61,7.23,2.41,4.82,0,0,0,0,0,0,0,0,0,0,21.69,3.61,7.23,0,0,1.2,0,3.61,0,6.02,0,0
897,135,74.89,89.59,62.82,99,27,22.22,82.22,40.74,11.11,8.89,1.48,0,2.22,0,5.19,2.22,5.19,11.11,5.19,2.96,8.15,0,7.41,6.67,1.48,0.74,0.74,2.22,6.67,6.67,0,0,0,0,11.85,0,0,0,0,10.37,4.44,0.74,0.74,0,4.44,0,4.44,3.7,0.74,0,0,0,0,0,0,8.15,2.22,1.48,2.22,2.96,0,0,8.89,0,17.78,2.22,7.41,9.63,6.67,0.74,0,0,0,0,0,0,0,0,0,0,9.63,2.96,0.74,0.74,0,0.74,0.74,0,0,0,1.48,2.22
898,654,79.39,39.73,59.73,81.03,31.14,16.21,84.71,53.67,13.46,9.63,8.1,0.31,1.22,0,0,3.82,8.41,15.29,9.79,3.36,5.96,0.15,16.67,4.59,2.6,1.38,1.99,3.52,3.21,3.06,0,0,0,0,5.05,0,0.15,0,0.15,8.41,1.53,2.6,1.22,1.07,1.38,0.92,1.22,0.76,0,0.46,0.61,0,0.31,0,0,5.96,1.68,1.83,1.53,1.83,0.15,3.82,9.02,2.91,13.15,2.91,6.12,4.59,2.6,2.75,0.15,2.45,0,0,0,0,0,0,0,0,8.26,4.28,1.22,0.15,0,0.15,0,0.31,0,0,0.61,1.53
899,4,99,99,74.76,25.77,2,25,75,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,150,125,0,0,0,0,0,0,0,0,0,25
900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,31,98.37,37.35,2.96,99,15.5,19.35,90.32,61.29,12.9,3.23,3.23,0,0,0,0,9.68,16.13,19.35,9.68,3.23,0,0,16.13,9.68,6.45,0,0,3.23,6.45,6.45,0,0,0,0,0,0,0,0,0,3.23,0,3.23,0,0,0,0,3.23,0,0,3.23,0,0,0,0,0,6.45,0,3.23,0,3.23,0,0,12.9,3.23,6.45,3.23,3.23,0,0,3.23,0,6.45,0,0,0,0,0,0,0,0,16.13,6.45,6.45,0,0,0,0,0,0,0,0,3.23
902,693,78.35,37,62.7,98.93,23.9,21.21,87.73,54.69,14.14,8.66,6.35,0,2.31,0,0,5.48,7.79,16.45,9.67,3.61,4.91,1.44,14.43,6.93,3.61,1.44,1.01,3.03,6.2,6.06,0.14,0,0.14,0,4.91,0,0.14,0,0,11.11,2.74,1.59,0.87,2.74,2.02,2.74,2.02,0.58,0,0.72,0.43,0.29,0,0,0.14,9.09,1.3,5.63,2.31,3.32,0,2.6,13.13,1.88,11.98,2.31,6.2,4.18,4.91,1.59,0,0.58,0,0,0.43,0,0,0.29,0.14,0,17.75,5.92,4.76,0.72,0.29,0.14,0.14,2.16,0,1.88,0.58,1.15
903,176,50.13,50,77.68,99,29.33,16.48,90.34,52.27,18.75,15.34,11.93,0,2.84,0,0.57,3.41,4.55,13.07,8.52,4.55,6.25,0,16.48,2.84,1.7,0.57,1.14,2.84,7.95,7.95,0,0,0,0,9.66,0,1.7,0,1.7,10.23,1.7,2.84,1.7,2.27,2.84,0.57,2.84,2.84,0,0,0.57,0,0,0,0,7.95,1.7,5.11,0.57,3.98,0,1.7,12.5,1.7,13.07,1.14,5.68,6.82,1.7,4.55,0.57,1.7,0,0,1.14,0,0.57,0,0,0,20.45,9.09,5.68,0.57,0.57,0,1.14,0.57,0,1.7,0,1.14
904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905,200,58.47,52,30.86,96.76,22.22,15,92.5,56,10.5,5.5,2.5,0,0,0,3,5,8.5,11.5,13.5,7,5,1.5,18,4.5,1,3,0,2,5,5,0,0,0,0,7.5,0,0,0,0,11.5,2,1.5,3.5,1.5,1.5,3,1.5,1,0,0,2.5,0.5,1,0,0.5,7.5,0.5,4.5,1,2,0,2.5,15,2.5,14,1,9,4,5.5,4.5,1,2.5,0,0,0,0,0,0,0,0,6.5,4.5,1.5,0,0,0,0,0,0,0.5,0,0
906,245,79.47,88.17,26,99,22.27,13.88,83.67,52.65,16.73,10.61,3.27,0,6.94,0,0.41,6.12,7.76,14.69,7.76,2.86,3.67,0.41,13.88,4.49,2.04,0.82,3.67,2.45,6.94,6.94,0,0,0,0,9.8,0.41,0.41,0.41,0,9.8,2.04,2.04,2.45,2.04,1.22,1.22,2.86,0.82,0,1.22,2.45,0.41,0,0,2.04,6.94,0.82,2.45,1.63,2.86,0,2.04,11.02,2.04,13.06,1.22,9.39,2.45,1.22,0.41,0.82,0.41,0,0,1.22,0,0.41,0.82,0,0,22.04,5.71,2.04,0,0,0.41,2.04,0,1.63,0.82,0,9.39
907,148,79.86,20.87,45.17,85.07,18.5,16.22,79.73,55.41,12.84,8.78,6.76,0,0.68,0,1.35,4.05,10.14,14.86,7.43,4.05,8.11,1.35,11.49,6.76,5.41,0,3.38,3.38,4.73,4.05,0.68,0,0,0,3.38,0,0,0,0,10.14,1.35,1.35,1.35,2.03,1.35,4.05,2.03,0.68,0,1.35,0,0,0,0,0,5.41,0,1.35,1.35,3.38,0.68,6.76,5.41,0.68,9.46,0,3.38,6.08,1.35,1.35,0,2.03,0,0.68,0.68,0,0,0,0.68,0,11.49,6.76,3.38,0,0,0,0,0,0,0,1.35,0
908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,93,62.27,95.71,6.33,99,46.5,16.13,75.27,51.61,20.43,19.35,7.53,0,9.68,2.15,0,1.08,4.3,13.98,6.45,1.08,5.38,1.08,11.83,4.3,1.08,1.08,0,3.23,6.45,6.45,0,0,0,0,18.28,0,2.15,1.08,1.08,6.45,0,1.08,1.08,1.08,2.15,2.15,1.08,1.08,0,0,2.15,0,0,0,0,6.45,4.3,0,1.08,1.08,0,0,9.68,2.15,5.38,0,4.3,1.08,1.08,1.08,1.08,0,0,0,0,0,0,0,0,0,13.98,8.6,4.3,0,0,0,0,0,0,0,0,1.08
910,149,81.3,84.3,27.71,75.57,29.8,19.46,86.58,52.35,15.44,8.05,2.01,1.34,0,4.03,0.67,7.38,8.05,15.44,5.37,3.36,6.04,1.34,15.44,2.68,1.34,2.68,2.68,0,2.68,2.68,0,0,0,0,13.42,1.34,0,0,4.7,8.72,2.01,0,1.34,1.34,2.68,1.34,1.34,0.67,0.67,0,0,0,0,0,0,8.72,4.03,2.01,2.01,1.34,0,8.05,6.04,0.67,17.45,3.36,8.05,6.04,8.72,3.36,0,1.34,0,0,0,0,0,0,0,0,14.77,7.38,2.68,0,0,0,0,0.67,1.34,0,0,2.68
911,236,71.11,98.86,18.76,99,33.71,27.54,82.2,46.19,17.8,11.44,0,9.75,0.42,0.42,0.85,6.36,6.78,12.29,3.81,3.81,5.93,0.42,11.02,7.2,2.12,2.12,0.85,2.12,8.05,8.05,0,0,0,0,14.83,0.42,0,0.85,0,12.29,3.81,4.66,0.42,2.54,0.85,1.69,1.69,1.27,0,0,2.12,0,0.42,0.42,0.42,19.07,11.86,5.51,1.27,1.27,0,2.97,6.36,0,11.02,1.27,5.93,4.24,7.63,1.27,0.42,0,0,0,0,0,0,0,0,0,18.22,5.08,3.81,0,0,0,0,0.85,0,3.81,0,4.66
912,910,86.5,86.65,32.3,91.66,18.96,16.37,79.34,48.46,11.98,8.68,1.32,3.19,3.41,0.11,0.66,3.3,9.56,13.85,6.15,2.97,6.7,0.66,12.97,5.82,2.64,0.77,2.64,3.08,4.51,4.29,0.22,0,0.11,0,9.45,0.11,0,0.11,0.22,7.91,1.65,1.1,1.54,1.54,0.77,2.97,2.53,1.76,0,0.66,2.42,1.21,0.22,0,0.77,9.23,4.07,0.88,1.98,2.97,0,1.43,10.77,1.54,13.96,1.54,9.89,2.64,1.87,1.76,0.11,0.88,0,0.22,0.22,0,0,0,0.22,0,17.03,5.38,3.08,0.11,0,0.66,1.1,1.98,0,1.54,0.88,2.31
913,36,95.17,86.68,1,99,36,27.78,72.22,33.33,5.56,5.56,0,0,5.56,0,0,0,2.78,16.67,5.56,2.78,2.78,0,11.11,11.11,2.78,0,0,2.78,11.11,11.11,0,0,0,0,5.56,0,0,0,0,8.33,0,5.56,0,2.78,0,0,2.78,2.78,0,0,0,0,0,0,0,8.33,0,2.78,5.56,5.56,0,2.78,8.33,2.78,5.56,0,5.56,0,2.78,2.78,2.78,2.78,0,0,0,0,0,0,0,0,13.89,5.56,0,0,0,0,5.56,0,0,0,2.78,0
914,162,78.91,68.92,58.07,99,40.5,15.43,80.25,51.85,14.81,9.88,4.94,0.62,1.85,0,2.47,4.94,8.64,13.58,8.02,3.09,4.94,0.62,10.49,4.94,3.7,0.62,3.7,2.47,6.79,6.79,0,0,0,0,10.49,0,0,0,0,6.17,1.23,1.23,0,1.85,1.23,2.47,1.23,1.23,0,0,2.47,0,0,0,0,14.2,4.32,5.56,3.09,3.7,0,0.62,7.41,4.32,13.58,0.62,8.64,6.17,3.09,0,0,0.62,0,0,0,0,0,0,0,0,30.25,4.94,4.94,0,0,0,15.43,0,0,0.62,2.47,1.85
915,317,73.59,50,40.51,97.87,26.42,25.55,79.81,45.11,11.36,8.2,5.99,0.32,0.32,0,1.58,3.15,4.42,13.25,7.26,2.52,8.2,0,14.2,3.15,0.95,0.63,3.47,0.95,7.89,6.62,1.26,0.32,0,0.32,7.26,0.63,0.32,0,0,12.62,1.26,5.05,1.58,1.89,1.58,1.89,3.15,2.52,0,0.63,0.32,0.32,0,0,0,11.04,2.52,5.99,1.58,1.26,0.63,1.58,11.99,0.63,11.99,1.26,5.36,5.36,4.1,2.52,0,1.58,0,0,0.95,0,0.63,0.32,0,0,18.61,5.68,5.05,0.63,0,0,0.63,0.95,0,0.32,0.63,4.73
916,70,70.76,66.59,78.4,98.56,17.5,10,91.43,52.86,17.14,15.71,11.43,0,4.29,0,0,1.43,7.14,14.29,1.43,7.14,8.57,0,8.57,1.43,0,1.43,1.43,1.43,5.71,5.71,0,0,0,0,15.71,1.43,2.86,0,1.43,14.29,1.43,2.86,1.43,8.57,0,4.29,4.29,4.29,0,0,2.86,0,0,1.43,0,10,8.57,1.43,2.86,0,0,0,11.43,0,10,2.86,5.71,1.43,1.43,5.71,1.43,0,0,0,1.43,0,0,0,0,0,10,0,0,0,0,4.29,4.29,0,0,0,0,1.43
917,533,75.83,61.09,46.34,57.7,24.23,18.95,82.18,51.97,12.01,6.75,4.32,0.19,1.69,0,0.56,5.25,8.44,13.32,9.19,3.56,7.13,0.56,12.95,5.07,2.81,1.69,3,1.31,4.32,3,1.31,1.13,0,0,7.32,0.38,0.19,0,0,6.19,0.75,0.94,0.75,2.25,0.56,1.5,1.5,0.75,0,0.75,1.88,1.13,0.75,0,0,6.94,2.06,2.25,1.88,1.88,0,2.25,7.88,4.13,14.63,3,7.88,3.94,3,1.69,0.19,0.75,0,0.19,0.19,0,0.19,0,0,0,14.63,4.69,4.5,0.19,0,0.38,0,0.38,0,0,0.38,4.13
918,59,80.47,91.23,16.91,97.07,29.5,22.03,77.97,45.76,10.17,10.17,3.39,1.69,5.08,0,0,0,3.39,15.25,8.47,0,8.47,0,15.25,0,0,0,0,3.39,5.08,5.08,0,0,0,0,10.17,0,0,0,0,10.17,3.39,1.69,1.69,1.69,1.69,0,1.69,1.69,0,0,0,0,0,0,0,6.78,5.08,1.69,1.69,0,0,1.69,10.17,1.69,10.17,0,6.78,3.39,3.39,1.69,0,3.39,3.39,0,0,0,0,0,0,0,40.68,8.47,1.69,0,0,0,22.03,0,0,1.69,0,6.78
919,152,86.18,72.3,45.97,90.71,19,24.34,78.29,50,9.87,7.89,3.29,1.32,2.63,0,0.66,1.97,8.55,14.47,8.55,2.63,5.92,1.32,16.45,3.95,0.66,3.29,2.63,1.32,3.95,3.95,0,0,0,0,8.55,0,0,0,0,10.53,1.97,3.95,1.97,0.66,0.66,1.97,4.61,3.95,0.66,0,0,0,0,0,0,5.92,3.29,0,1.97,0.66,0,3.29,9.21,0.66,15.13,1.32,8.55,5.92,0,1.32,0,0.66,0,0,0.66,0,0.66,0,0,0,21.71,4.61,5.92,0,0,1.97,0,0.66,0,1.97,1.32,5.26
920,154,76.49,39.74,85.21,94.75,38.5,18.18,81.82,53.25,17.53,12.99,10.39,0,2.6,0,0,4.55,6.49,16.23,7.14,4.55,3.25,0.65,10.39,3.9,3.25,0.65,6.49,1.95,5.84,5.19,0.65,0,0,0.65,7.14,0.65,0.65,0,0,7.14,3.25,0,0,0,2.6,1.3,2.6,1.3,0,1.3,1.3,0.65,0,0.65,0,5.19,2.6,1.3,0.65,1.3,0,0.65,7.14,1.95,12.34,0,5.84,6.49,3.25,1.95,1.95,1.95,0,0,0.65,0,0.65,0,0,0,27.27,5.19,5.19,0,0,0,0.65,1.3,0,1.95,3.9,9.09
921,10,98.46,50,1,99,10,20,80,30,0,0,0,0,0,0,0,0,10,10,0,10,0,0,20,10,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,0,10,10,0,0,0,0,0,0,0,10,10,0,0,0,20,0,10,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
922,195,69.57,64.04,40.03,54.74,21.67,14.87,90.77,55.9,17.95,14.36,9.23,0.51,4.1,0,0.51,3.59,7.18,16.41,5.64,3.59,8.21,1.54,16.92,5.13,3.08,0.51,1.03,2.56,3.59,2.56,1.03,0,0.51,0,11.28,1.54,0.51,0.51,0,10.77,1.03,3.59,1.03,4.62,1.03,0.51,1.54,1.54,0,0,1.54,1.54,0,0,0,8.21,2.05,2.56,3.59,0.51,0,4.62,12.31,1.54,9.74,1.54,4.62,3.59,4.62,2.05,1.03,2.05,0,0,2.05,1.03,0,0,0,1.03,10.77,5.64,1.54,0.51,0,0,0,0,0,2.05,0,1.03
923,295,87.48,41.95,63.38,76,15.53,23.05,81.36,48.47,10.17,7.46,5.42,0,0.68,0,1.36,2.71,8.81,14.92,10.85,2.37,4.41,0.34,15.59,3.05,1.69,0.34,3.73,3.05,4.75,3.73,1.02,0,0,0,4.41,0,0,0,0,9.15,0.34,2.37,2.03,1.02,3.05,1.36,1.36,0.68,0,0.68,0.68,0.34,0,0,0,7.8,1.36,4.41,1.69,3.05,0,2.37,11.53,3.39,17.97,3.05,7.8,7.12,4.41,0.34,0.34,2.71,0,0,0,0,0,0,0,0,25.42,6.1,2.71,2.03,0,7.12,0.34,2.37,0,2.03,0.68,2.03
924,38,95.07,39.61,50.35,25.77,19,13.16,92.11,55.26,15.79,13.16,10.53,2.63,0,0,0,2.63,10.53,18.42,5.26,0,2.63,2.63,15.79,5.26,0,0,0,0,0,0,0,0,0,0,10.53,0,0,0,0,10.53,2.63,0,5.26,0,0,2.63,5.26,5.26,0,0,0,0,0,0,0,5.26,5.26,0,2.63,0,0,0,13.16,2.63,10.53,2.63,7.89,0,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
925,160,63.62,45.04,71.32,99,12.31,20.62,91.25,52.5,15.62,6.88,6.25,0,0,0,0.62,8.75,6.25,13.12,6.88,4.38,8.12,0,18.12,5.62,1.88,1.25,0,2.5,7.5,7.5,0,0,0,0,9.38,0,0,0,0,22.5,2.5,3.12,3.75,10,3.75,4.38,2.5,1.88,0,0,4.38,0,1.25,0.62,0.62,8.12,3.12,2.5,2.5,1.25,0,2.5,11.25,2.5,15,3.12,7.5,5.62,1.25,2.5,0,0.62,0,0,0,0,0,0,0,0,11.88,8.12,2.5,0,0,0,0,0,0,0.62,0,0.62
926,124,50.97,50,74.76,14.61,31,16.13,90.32,58.06,16.94,11.29,5.65,0,5.65,0,0,5.65,6.45,12.9,10.48,3.23,5.65,3.23,14.52,1.61,0,1.61,0,1.61,3.23,0,0.81,0,0,0.81,8.06,0,0,0,0,11.29,1.61,1.61,1.61,3.23,0.81,4.84,0.81,0,0,0.81,0,0,0,0,0,5.65,0.81,4.03,0.81,0,0.81,0.81,13.71,3.23,14.52,0.81,7.26,6.45,7.26,0,4.84,3.23,0,0,0,0,0,0,0,0,13.71,5.65,2.42,0,0,0,0,0,0,0,0,5.65
927,31,44.1,97.31,20.84,25.77,31,19.35,90.32,54.84,9.68,6.45,0,6.45,0,0,0,3.23,9.68,9.68,3.23,12.9,16.13,0,9.68,3.23,0,9.68,3.23,3.23,0,0,0,0,0,0,12.9,0,0,0,0,9.68,3.23,6.45,0,0,0,0,0,0,0,0,3.23,0,3.23,0,0,22.58,12.9,3.23,9.68,0,0,0,9.68,0,12.9,0,6.45,6.45,0,0,0,0,0,0,0,0,0,0,0,0,12.9,3.23,3.23,0,0,0,0,0,0,0,0,6.45
928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,249,78.96,51.61,57.21,99,31.12,20.48,83.94,52.21,13.25,8.84,6.02,0,2.41,0,0.4,4.42,5.62,17.27,6.02,4.02,8.03,0.8,15.26,4.82,2.41,0.4,2.41,2.01,6.83,6.43,0.4,0.4,0,0.4,8.43,0,0,0,0,14.46,2.81,2.41,2.41,5.22,0.8,3.61,3.61,2.41,0.4,0.8,2.41,2.01,0,0,0,8.03,2.81,2.01,1.2,1.61,0.4,3.21,7.23,3.21,12.05,1.2,6.43,6.02,0.8,2.81,0,1.61,0,0,1.61,0,0,0.8,0.8,0,18.07,2.81,4.82,0,0,0,2.41,2.81,0.8,1.2,0.8,2.41
